SourceID,TargetID,Relationship Strenght
1,43,70000%
1,44,70000%
1,45,70000%
1,46,70000%
1,47,70000%
1,48,70000%
1,49,70000%
1,50,70000%
1,51,70000%
1,52,70000%
1,53,70000%
1,54,70000%
1,55,70000%
2,56,70000%
2,57,70000%
2,58,64994%
2,59,64935%
2,60,64935%
2,61,64922%
2,62,64870%
2,56,64805%
2,63,64487%
3,64,64350%
3,65,64350%
3,66,64350%
4,51,64220%
4,51,64220%
4,67,64155%
4,68,63895%
5,69,63895%
5,70,63700%
5,71,63700%
5,72,63310%
5,72,63310%
5,73,63271%
5,74,63050%
6,75,63050%
6,76,63037%
6,77,62972%
6,78,62725%
6,79,62699%
6,80,62660%
7,81,62550%
7,82,62524%
7,83,62335%
7,84,62270%
7,85,62264%
7,86,62140%
7,87,61965%
7,82,61776%
7,88,61750%
7,89,61750%
7,90,61750%
7,91,61750%
8,92,61620%
8,93,61581%
8,94,61289%
8,95,61198%
8,96,61100%
8,92,61100%
8,97,61035%
8,93,60905%
8,98,60645%
8,92,60450%
8,99,60229%
8,100,60158%
8,101,59800%
8,102,59800%
8,103,59768%
9,51,59293%
9,104,59215%
9,105,59150%
10,106,59150%
10,107,59085%
10,96,58708%
10,108,58630%
10,109,58500%
10,110,58500%
10,111,58500%
10,112,58045%
10,113,57980%
10,114,57850%
10,115,57850%
10,116,57720%
10,117,57655%
10,118,57597%
10,119,57200%
10,120,57200%
10,121,56713%
10,122,56550%
11,123,56485%
11,124,56180%
11,125,56089%
11,126,55920%
11,127,55900%
11,128,55900%
11,129,55848%
11,130,55822%
11,131,55660%
11,132,55543%
11,133,55263%
11,134,55250%
11,135,55250%
11,136,55120%
12,137,54990%
12,52,54964%
12,138,54795%
12,139,54665%
12,140,54600%
12,141,54600%
12,142,54535%
12,75,54191%
12,143,54041%
12,144,54015%
12,145,53950%
12,146,53950%
12,147,53560%
12,121,53463%
12,148,53300%
12,149,53222%
12,150,53209%
12,151,53196%
12,152,52910%
12,153,52858%
13,154,52780%
13,155,52650%
13,156,52650%
13,157,52650%
14,158,52572%
14,159,52364%
14,149,52325%
15,51,52195%
15,51,52000%
15,51,51922%
15,160,51578%
15,161,51480%
16,162,51370%
16,163,51350%
16,164,51350%
16,163,51220%
16,165,51025%
16,164,50941%
16,166,50765%
16,167,50700%
16,168,50700%
16,169,50635%
16,170,50310%
16,171,49537%
16,172,49400%
16,173,49400%
16,174,49400%
16,175,49335%
16,176,49270%
16,177,49264%
16,178,49205%
17,179,49205%
17,180,49192%
18,51,49153%
18,51,48984%
18,51,48880%
18,51,48880%
